YEAR,BU CODE,SECTOR,ACCOUNT CODE,Budget,Utilization,CAF
,,,,,,
2023,324000,CSS,701006091000,21753200,19760665.43,19760665.43
2023,324000,CSS,704000072150,16554600,12899902.38,12899902.38
2023,324000,CSS,704000075150,47308700,39771069.98,40415811.27
2023,324000,CSS,704000074400,2785200,586293.92,586293.92
2023,324000,CSS,704000073200,2327400,262334.96,262334.96
2023,324000,CSS,704000091060,6400,5220.69,5465.37
2023,324000,CSS,704000090152,58589200,40878633.28,58537940.81
2023,324000,CSS,704000091070,684000,0,0
2023,324000,CSS,704000030110,5900000,5833990.98,5833990.98
2023,324000,CSS,704000171000,620000,475091.63,475091.63
2023,324000,CSS,704000091062,2400,1783.82,1783.82
2023,324000,CSS,704000010100,481200,219072,447552
2023,324000,CSS,704000010200,167100,149071.73,152414.73
2023,324000,CSS,704000090150a,19035426.92,14417514.16,0
2023,324000,CSS,704000110300,3300,2381,2381
2023,324000,CSS,704000110400,81400,80640,80640
2023,324000,CSS,704000030500,198800,182137.83,182137.83
2023,324000,CSS,703000010500,655850.22,655850.22,0
2023,324000,CSS,703000030200,4360600,1295833.94,1301631.44
2023,324000,CSS,702000130240,2294974.63,2255486.87,0
2023,324000,CSS,702000050300,174300,17669.87,17669.87
2023,202000,EO,704000030500,984989.83,835821.83,971864.12
2023,202000,EO,704000090170,0,0,0
2023,202000,EO,703000010500,16296899,15513968.36,0
2023,202000,EO,703000030200,6663000,6841885.35,6841885.35
2023,202000,EO,703000040100,5148010.17,5125443,5125443
2023,202000,EO,702000130240,5398201,4622100.798,0
2023,202000,EO,702000050100,417000,288675.69,288675.69
2023,202000,EO,702000050200,918100,824993.4,824993.4
2023,202000,EO,702000050300,399000,372187.06,372187.06
2023,531000,CSS,160285010000,101400,71300,0
2023,531000,CSS,170305010000,6904700,2498202,0
2023,531000,CSS,170332010000,29700,25000,0
2023,531000,CSS,170310020000,33205233.4,6785049.46,0
2023,531000,CSS,704000010100,114300,20109.6,60328.8
2023,531000,CSS,704000010200,172200,127211,127211
2023,531000,CSS,704000090150a,4711404.08,3473491.83,0
2023,531000,CSS,704000110100,1720800,1427210,1517501.46
2023,531000,CSS,704000030300,11687700,3474478.48,10293294.8
2023,531000,CSS,704000030120,41592900,21015442.91,21015442.91
2023,531000,CSS,704000170200,415500,165872.55,213710.71
2023,531000,CSS,704000050200,32480000,19137225.76,23539066.01
2023,531000,CSS,704000150500,101400,77830,77830
2023,531000,CSS,704000030500,102000,93500,102000
2023,531000,CSS,704000090170,25000,0,0
2023,531000,CSS,704000075100,140902500,155300,155300
2023,531000,CSS,703000010500,631165.36,631165.36,0
2023,531000,CSS,703000030200,1262000,919393.01,920192.13
2023,531000,CSS,702000130240,462490.64,315091.35,0
2023,531000,CSS,702000050300,63100,47182.6,47182.6
2023,332100,ROAS,170323030215,200000,158969.75,0
2023,332100,ROAS,170332215000,745900,658388.5,0
2023,332100,ROAS,170310030215,258907.2,105550.09,0
2023,332100,ROAS,704000130200,150000,133050,133050
2023,332100,ROAS,704000130500,18900,0,0
2023,332100,ROAS,704000090100,34100,21600,21600
2023,332100,ROAS,704000110500,3200,0,0
2023,332100,ROAS,704000090500,100000,8704.41,0
2023,332100,ROAS,704000150600,104000,40400,40400
2023,332100,ROAS,704000010200,450200,410166.87,410166.87
2023,332100,ROAS,704000010300,3000,0,0
2023,332100,ROAS,704000030210,3087700,3009464.8,3009464.8
2023,332100,ROAS,704000090150a,954345.8,786540.81,0
2023,332100,ROAS,704000030220,67500,48920,48920
2023,332100,ROAS,704000090300,800,770,770
